,Frame,xmin,ymin,xmax,ymax,xmid,ymid
0,4,1689.9482557314827,61.02749190632538,1735.8593009242393,89.97250809367462,1712.903778327861,75.5
0,5,1689.2590840148628,61.387588283816136,1734.0277979984244,89.61241171618386,1711.6434410066436,75.5
0,25,1632.9229744780264,40.013273024986034,1674.1076080314986,66.00761876373286,1653.5152912547624,53.01044589435945
0,26,1629.9491447388484,39.599143759631986,1670.0479869094547,64.36196150508482,1649.9985658241517,51.9805526323584
0,27,1627.2734832787182,38.65960795764221,1666.997148562497,63.19073103996125,1647.1353159206076,50.92516949880173
