,Frame,xmin,ymin,xmax,ymax,xmid,ymid
0,227,929.2485103553355,0.0,960.9510479289403,17.03821328847835,945.0997791421379,8.519106644239175
0,228,929.0335737654639,0.0,960.8002009065876,17.105574612792218,944.9168873360258,8.552787306396109
0,229,931.1123514259107,0.0,961.5464841384251,16.380922424194885,946.3294177821679,8.190461212097443
0,230,931.0095538496553,0.0,963.3975231322974,17.55448642947546,947.2035384909764,8.77724321473773
0,231,931.7394083346467,0.0,964.6009880384814,17.94457269337623,948.170198186564,8.972286346688115
0,232,931.53777216008,0.0,965.5088088196624,18.750971962854223,948.5232904898712,9.375485981427111
0,233,932.8978862703542,0.6590292870041914,967.0224126278476,19.70200056882731,949.960149449101,10.18051492791575
0,234,933.5370890844202,0.9144761401862613,967.4603588356692,20.05312005915347,950.4987239600448,10.483798099669865
0,235,932.5496433086997,0.3493673113147988,968.1557672947529,20.827603156892813,950.3527053017262,10.588485234103807
0,236,931.1113988855569,0.13595194153971768,966.9006698707448,21.110515481009884,949.0060343781508,10.6232337112748
0,237,931.6545356784048,0.049394311850182504,967.1791366781421,21.20172257149489,949.4168361782735,10.625558441672537
0,238,931.2686080029654,0.015310986226944934,967.2163523080935,21.86782225357458,949.2424801555294,10.941566619900762
0,239,932.0761456829458,0.002386077302933387,968.8351936052346,22.7557042109521,950.4556696440902,11.379045144127517
0,240,932.5856798373973,-0.002393984508273661,969.2574649852049,23.088394485022654,950.9215724113011,11.54300025025719
0,241,931.9592259268034,-0.003918756305397508,968.9373797236008,23.84478155848749,950.4483028252021,11.920431401091047
0,242,931.8268559764641,-0.011876342643999394,969.5950289605591,24.34637058638569,950.7109424685116,12.167247121870844
0,292,873.8365777749545,1.9931052786628012,909.577393080628,26.067025266239824,891.7069854277913,14.030065272451314
0,293,872.2081011843662,2.0537227672304503,907.6137842316624,25.90197928044878,889.9109427080143,13.977851023839616
0,323,894.9245618661314,0.002051508255926038,919.9997084739514,16.00262281694772,907.4621351700414,8.002337162601822
0,324,894.8862648831139,-0.018249244580479385,920.4113405079427,15.909328255302523,907.6488026955283,7.945539505361022
0,325,894.8039566981058,-0.024486097997256095,920.6083625136184,15.88066904948467,907.7061596058621,7.928091475743707
0,326,894.6936626087492,-0.02362475429204558,920.7071591122018,15.885405137060562,907.7004108604755,7.930890191384258
0,327,894.5902547028663,-0.02082213488681628,920.7639977088645,15.899175164826246,907.6771262058654,7.939176514969715
0,328,894.503495710229,-0.017914141379011816,920.8016377986748,15.913319905443366,907.652566754452,7.947702882032177
0,329,894.4326122206321,-0.015363435971181616,920.8292087380902,15.925685828879008,907.6309104793611,7.955161196453913
0,330,894.374567002977,-0.013217647604753857,920.8507369296598,15.9360743333614,907.6126519663184,7.961428342878323
0,331,894.326497563051,-0.011423185057983787,920.8682381299377,15.944756562042185,907.5973678464943,7.966666688492101
0,332,894.5423343308527,-0.029851989239308985,920.9665873955568,15.855637452906329,907.7544608632047,7.9128927318335105
0,334,894.281425285825,-0.009768201549963607,920.8851071981555,15.952761980141688,907.5832662419903,7.971496889295862
0,335,894.2273385346965,-0.0069361383932760035,920.8909129478545,15.966457766058518,907.5591257412755,7.9797608138326215
