,Frame,xmin,ymin,xmax,ymax,xmid,ymid
0,310,868.7808759682948,12.541466501475167,899.2361769304108,44.01705289870547,884.0085264493528,28.27925970009032
0,311,869.0703559223175,13.037697634627127,899.7512213463745,44.821577268691875,884.410788634346,28.929637451659502
0,312,869.1771573939599,13.162329845690573,899.8812355531253,45.05839294708515,884.5291964735426,29.110361396387862
0,313,868.8472886150931,13.890739114855341,899.5542014389664,45.83334823595122,884.2007450270298,29.86204367540328
0,314,868.1188082369233,13.421498573222905,900.037974995666,46.78584117030923,884.0783916162947,30.10366987176607
0,315,869.1631422304439,14.593402982338665,899.5799351126518,46.43267010224374,884.3715386715478,30.513036542291204
0,316,869.2705868152088,15.708396627164356,899.0022984164233,46.94826569756085,884.1364426158161,31.328331162362602
0,317,869.0342693908758,16.08650328469814,898.3818459699451,47.11575053997016,883.7080576804104,31.60112691233415
0,318,869.0010634662844,16.200933295831,898.1039978905505,47.15989029206527,883.5525306784175,31.680411793948135
0,319,868.6636666539614,16.895139459910375,897.6572188300311,47.83463773484942,883.1604427419962,32.3648885973799
0,320,868.8410148787013,17.803175749266586,897.1951778696942,48.07042804539485,883.0180963741977,32.93680189733072
0,321,868.5322443962154,18.117769109288034,896.7330143709097,48.14019922478941,882.6326293835625,33.12898416703872
0,322,868.3985432335248,18.21189443802171,896.5929900001609,48.15220441857586,882.4957666168428,33.18204942829878
0,323,867.1136716757725,18.226589405219336,896.4496620186815,49.48265642677169,881.7816668472269,33.85462291599551
0,324,866.6725085796131,18.221589054724838,896.3735623788386,49.964186878334104,881.5230354792259,34.092887966529474
0,325,866.536648144716,18.2021039175135,896.3282977158137,50.1322325447549,881.4324729302648,34.1671682311342
0,326,866.5175057654301,18.180063055274957,896.2958088270018,50.179607940363354,881.4066572962159,34.179835497819155
0,327,866.5402971182851,18.15935702923796,896.2690725883715,50.18261906628171,881.4046848533283,34.170988047759835
0,328,866.57626076124,18.14079110444535,896.2455323504226,50.170456023794266,881.4108965558313,34.15562356411981
0,329,866.6146276207286,18.124327589376076,896.2242325162414,50.15403596860638,881.419430068485,34.13918177899123
0,330,866.6515176021645,18.109760110670116,896.2047699148404,50.13734100220669,881.4281437585025,34.1235505564384
0,331,866.6856648255006,18.09687600831284,896.1869323919823,50.12174071020063,881.4362986087415,34.10930835925674
0,332,866.7167863684001,18.08548460455672,896.1705761969473,50.107626322671514,881.4436812826737,34.096555463614116
0,333,866.7449601709031,18.075417341071862,896.1555843367034,50.09502881406785,881.4502722538033,34.08522307756986
0,334,866.7703875269433,18.066524439432378,896.1418523946123,50.083853177359764,881.4561199607779,34.07518880839607
0,335,866.7933025641371,18.058672285355527,896.1292837346899,50.07396710139464,881.4612931494135,34.066319693375085
